============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     LDOUSDT    Buy   60              False         Fail          110.0        1.512600          1.464600               No
     MYXUSDT    Buy   60              False         Fail            0.0        1.831800          1.754000              Yes
    SOONUSDT    Buy   60              False         Fail           98.0        0.419230          0.394000               No
     DOTUSDT    Buy   60              False      Success           42.0        4.250000          4.175000               No
      OPUSDT    Buy   60              False         Fail          109.0        0.863000          0.825300               No
     CRVUSDT    Buy   60              False      Success           57.0        1.047000          1.021000               No
     XLMUSDT    Buy   60              False      Success           37.0        0.452800          0.446250               No
     SEIUSDT    Buy   60              False         Fail          110.0        0.354800          0.346900               No
     TONUSDT    Buy   60              False      Success           16.0        3.511600          3.459100               No
     APTUSDT    Buy   60              False         Fail          110.0        5.019700          4.906200               No
   TOWNSUSDT    Buy   67              False         Fail           18.0        0.033740          0.032870               No
     ETCUSDT    Buy   60              False      Success           69.0       24.252000         23.858000               No
    ONDOUSDT    Buy   60              False Inconclusive            NaN        1.071700          1.055000               No
    NEARUSDT    Buy   60              False      Success           58.0        2.984000          2.897000               No
1000SHIBUSDT    Buy   60              False      Success           29.0        0.013910          0.013709               No
     GTCUSDT    Buy   77              False Inconclusive            NaN        0.479000          0.442000               No
      INUSDT    Buy   67              False         Fail          122.0        0.105490          0.099590               No
   ETHFIUSDT    Buy   60              False         Fail          109.0        1.313700          1.257000               No
     WLDUSDT    Buy   60              False      Success           30.0        1.123200          1.083000               No
    HBARUSDT    Buy   60              False Inconclusive            NaN        0.264800          0.261600               No
     SPKUSDT    Buy   81              False         Fail           13.0        0.093430          0.089100              Yes
     TIAUSDT    Buy   60              False      Success           85.0        1.998300          1.948000               No
     TRXUSDT    Buy   75              False      Success           12.0        0.362470          0.360050               No
     FILUSDT    Buy   60              False      Success           87.0        2.727000          2.685000               No
  PENDLEUSDT    Buy   60              False      Success           39.0        5.731200          5.540000               No
     TAOUSDT    Buy   60              False         Fail           97.0      394.930000        385.840000               No
    HIFIUSDT    Buy   60              False         Fail           13.0        0.096860          0.092640              Yes
     INJUSDT    Buy   60              False      Success           28.0       16.065000         15.523000               No
     AIOUSDT    Buy   60              False         Fail          108.0        0.124510          0.109150               No
    BOMEUSDT    Buy   60              False         Fail          109.0        0.002144          0.002096               No
   EIGENUSDT    Buy   60              False      Success           29.0        1.602100          1.532600               No
     WCTUSDT    Buy   60              False         Fail           98.0        0.349800          0.343400               No
     JUPUSDT    Buy   60              False      Success           84.0        0.552400          0.540700               No
    TREEUSDT    Buy   60              False         Fail          102.0        0.422600          0.412200               No
   NEIROUSDT    Buy   60              False      Success            0.0        0.000444          0.000400               No
    PNUTUSDT    Buy   60              False      Success           40.0        0.263860          0.258010               No

--- SELL SIGNALS ---
    Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
ZORAUSDT   Sell   57              False Success           44.0          0.1157            0.1225               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_16-59-04.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_22-29-04.json =====
Signal Generation Time (UTC): 2025-08-13 16:59:04

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False      Success           26.0     4752.540000       4687.820000               No
